url,extracted_domains,resolution_status,cop,lang
https://x.com/Reuters/status/1459624045977247751,reuters.com,OK,26,en
https://x.com/Reuters/status/1459624045977247751,reuters.com,OK,26,en
https://x.com/MLiebreich/status/1459623326180163593,about.bnef.com,OK,26,en
https://x.com/nature_org/status/1459623117127565313,nature.org,OK,26,en
https://x.com/wwf_uk/status/1459622873287512070,bbc.co.uk,OK,26,en
https://x.com/lisaocarroll/status/1459622448891056128,theguardian.com,OK,26,en
https://x.com/KarlMathiesen/status/1459622162424291332,politico.eu,OK,26,en
https://x.com/UN/status/1459622093507555328,un.org,OK,26,en
https://x.com/e3g/status/1459621951287218177,e3g.org,OK,26,en
https://x.com/business/status/1459621611481575424,bloomberg.com,OK,26,en
https://x.com/CANIntl/status/1459621152398082053,climatenetwork.org,OK,26,en
https://x.com/CANRacCanada/status/1459620743889698821,climateactionnetwork.ca,OK,26,en
https://x.com/ciwf/status/1459620665234006021,ciwf.org.uk,OK,26,en
https://x.com/Independent/status/1459620428352208901,independent.co.uk,OK,26,en
https://x.com/brandoncwu/status/1459620342125805576,actionaidusa.org,OK,26,en
https://x.com/brandoncwu/status/1459620334605377543,civilsocietyreview.org,OK,26,en
https://x.com/ScotGovNetZero/status/1459620161804247043,gov.scot,OK,26,en
https://x.com/CBSNews/status/1459619577873244177,cbsnews.com,OK,26,en
https://x.com/jloistf/status/1459619476534669323,wired.com,OK,26,en
https://x.com/AidaGreenbury/status/1459619353641447424,nasional.tempo.co,OK,26,en
https://x.com/guardianopinion/status/1459619217301409793,theguardian.com,OK,26,en
https://x.com/RuthDavidsonPC/status/1459618752279031812,news.sky.com,OK,26,en
https://x.com/ItTakesRoots/status/1459618453552132098,ittakesroots.org,OK,26,en
https://x.com/dpcarrington/status/1459618429233770500,theguardian.com,OK,26,en
https://x.com/PriceofOil/status/1459618160852836356,oilchange.org,OK,26,en
https://x.com/dpcarrington/status/1459618056796356614,theguardian.com,OK,26,en
https://x.com/royalsociety/status/1459618055399559169,royalsociety.org,OK,26,en
https://x.com/Independent/status/1459617481526583301,independent.co.uk,OK,26,en
https://x.com/WWFEU/status/1459617274864803850,wwf.eu,OK,26,en
https://x.com/GreenpeaceUK/status/1459617029800005637,greenpeace.org,OK,26,en
https://x.com/lutheranworld/status/1459616958052249607,lutheranworld.org,OK,26,en
https://x.com/mvonlind/status/1459616733275336704,oceanprotect.org,OK,26,en
https://x.com/WildlifeTrusts/status/1459616524000452620,wildlifetrusts.org,OK,26,en
https://x.com/UN_News_Centre/status/1459616359990579202,news.un.org,OK,26,en
https://x.com/washingtonpost/status/1459616151097516043,washingtonpost.com,OK,26,en
https://x.com/bbgoriginals/status/1459615746154274824,bloomberg.com,OK,26,en
https://x.com/friends_earth/status/1459615299800551427,bbc.co.uk,OK,26,en
https://x.com/WSJ/status/1459615165066973192,wsj.com,OK,26,en
https://x.com/POLITICOEurope/status/1459614815085907970,politico.eu,OK,26,en
https://x.com/Independent/status/1459614735821938690,independent.co.uk,OK,26,en
https://x.com/Reuters/status/1459614732772651012,reuters.com,OK,26,en
https://x.com/RachaelMaskell/status/1459614659481378823,bbc.co.uk,OK,26,en
https://x.com/STVNews/status/1459614271185244167,news.stv.tv,OK,26,en
https://x.com/newscientist/status/1459614147008679946,newscientist.com,OK,26,en
https://x.com/newscientist/status/1459614147008679946,newscientist.com,OK,26,en
https://x.com/OurOcean/status/1459613976262705152,oceanconservancy.org,OK,26,en
https://x.com/guardian/status/1459613930960080897,theguardian.com,OK,26,en
https://x.com/MarkJCarney/status/1459613545801338888,theguardian.com,OK,26,en
https://x.com/washingtonpost/status/1459612998071468036,washingtonpost.com,OK,26,en
https://x.com/BreakingF24/status/1459612424395390977,france24.com,OK,26,en
https://x.com/Global_Witness/status/1459612286449029124,globalwitness.org,OK,26,en
https://x.com/guardiannews/status/1459612063584641032,theguardian.com,OK,26,en
https://x.com/guardian/status/1459612057683255297,theguardian.com,OK,26,en
https://x.com/IDAUSA/status/1459612030449557505,nme.com,OK,26,en
https://x.com/AJEnglish/status/1459611484376469507,aje.io,OK,26,en
https://x.com/AJENews/status/1459611316306522117,aje.io,OK,26,en
https://x.com/eilperin/status/1459611288062021636,washingtonpost.com,OK,26,en
https://x.com/citizensclimate/status/1459611065545863173,citizensclimatelobby.org,OK,26,en
https://x.com/bbgoriginals/status/1459610996662841344,bloomberg.com,OK,26,en
https://x.com/E_Krukowska/status/1459610879272665104,bloomberg.com,OK,26,en
https://x.com/CNBCnow/status/1459610859458674689,cnbc.com,OK,26,en
https://x.com/Reuters/status/1459610839787479046,reuters.com,OK,26,en
https://x.com/SkyNews/status/1459610835324739586,news.sky.com,OK,26,en
https://x.com/climate/status/1459610692827455491,bloomberg.com,OK,26,en
https://x.com/ResisterForever/status/1459610542558040069,washingtonpost.com,OK,26,en
https://x.com/axios/status/1459610372076359682,axios.com,OK,26,en
https://x.com/washingtonpost/status/1459610183903109139,washingtonpost.com,OK,26,en
https://x.com/cnnbrk/status/1459610009935888385,edition.cnn.com,OK,26,en
https://x.com/SkyNews/status/1459609948170723332,news.sky.com,OK,26,en
https://x.com/CNN/status/1459609807762120705,edition.cnn.com,OK,26,en
https://x.com/BBCBreaking/status/1459609738941972482,bbc.co.uk,OK,26,en
https://x.com/business/status/1459609540387815424,bloomberg.com,OK,26,en
https://x.com/SkyNews/status/1459609126145773573,news.sky.com,OK,26,en
https://x.com/SkyNews/status/1459607534508163082,news.sky.com,OK,26,en
https://x.com/ClimateGuardia/status/1459606713183571969,bbc.co.uk,OK,26,en
https://x.com/JKSteinberger/status/1459604700127539201,twitter.com,OK,26,en
https://x.com/SkyNews/status/1459604479058186242,news.sky.com,OK,26,en
https://x.com/ReclaimAnglesea/status/1459603522710765569,abc.net.au,OK,26,en
https://x.com/washingtonpost/status/1459602429511614465,wapo.st,OK,26,en
https://x.com/BThroughParty/status/1459602412193394702,breakthroughparty.org.uk,OK,26,en
https://x.com/FoEint/status/1459601424661233669,foei.org,OK,26,en
https://x.com/climateguyw/status/1459600197265281027,guyonclimate.com,OK,26,en
https://x.com/FairtradeUK/status/1459600109398896652,fairtrade.net,OK,26,en
https://x.com/Francescorocca/status/1459599793295179781,ifrc.org,OK,26,en
https://x.com/bio_diverse/status/1459599599900016650,unfccc.int,OK,26,en
https://x.com/TheCanaryUK/status/1459596932284928015,thecanary.co,OK,26,en
https://x.com/GreenpeaceEU/status/1459596711999987712,greenpeace.org,OK,26,en
https://x.com/hilltopgina/status/1459596427420745731,globalvegancrowdfunder.org,OK,26,en
https://x.com/GlobalJusticeUK/status/1459596272969699332,globaljustice.org.uk,OK,26,en
https://x.com/COP26/status/1459596056719671304,twitter.com,OK,26,en
https://x.com/UNFCCC/status/1459595779404935175,twitter.com,OK,26,en
https://x.com/350/status/1459595724211953664,350.org,OK,26,en
https://x.com/amnesty/status/1459595636618235906,amnesty.org,OK,26,en
https://x.com/KHayhoe/status/1459595296627994625,unfccc-cop26.streamworld.de,OK,26,en
https://x.com/farhanaclimate/status/1459595191904522244,unfccc.int,OK,26,en
https://x.com/ajeansu/status/1459594937243258882,biologicaldiversity.org,OK,26,en
https://x.com/guardian/status/1459594633529499654,theguardian.com,OK,26,en
https://x.com/ScientistsX/status/1459594441346408460,theguardian.com,OK,26,en
https://x.com/TVKev/status/1459593344867348489,dailymail.co.uk,OK,26,en
https://x.com/Channel4News/status/1459592397789163523,channel4.com,OK,26,en
https://x.com/IMFNews/status/1459592146466578434,imf.org,OK,26,en
https://x.com/alanferrier/status/1459591623793381383,edition.cnn.com,OK,26,en
https://x.com/business/status/1459591405849006087,bloomberg.com,OK,26,en
https://x.com/greenpeacepress/status/1459591079494365188,greenpeace.org,OK,26,en
https://x.com/angeladewan/status/1459591070686359553,edition.cnn.com,OK,26,en
https://x.com/ActionAid/status/1459590376877178880,actionaid.org,OK,26,en
https://x.com/christian_aid/status/1459589810520305665,mediacentre.christianaid.org.uk,OK,26,en
https://x.com/pablorodas/status/1459588340118863872,theguardian.com,OK,26,en
https://x.com/Save_GlobalNews/status/1459588067992514577,savethechildren.net,OK,26,en
https://x.com/SJAMcBride/status/1459587198316072968,belfasttelegraph.co.uk,OK,26,en
https://x.com/washingtonpost/status/1459587159732756480,wapo.st,OK,26,en
https://x.com/UNFCCC/status/1459586730797981699,unfccc.int,OK,26,en
https://x.com/UNFCCC/status/1459586730797981699,unfccc-cop26.streamworld.de,OK,26,en
https://x.com/DioceseofDurham/status/1459586689316397061,durhamdiocese.org,OK,26,en
https://x.com/PriceofOil/status/1459586661319430144,oilchange.org,OK,26,en
https://x.com/Oxfam/status/1459586494507720708,oxfam.org,OK,26,en
https://x.com/alishoda/status/1459586218849566720,theguardian.com,OK,26,en
https://x.com/guardianeco/status/1459585996660477958,theguardian.com,OK,26,en
https://x.com/ProfMarkMaslin/status/1459585955220934667,unfccc.int,OK,26,en
https://x.com/climate/status/1459584645847265281,bloomberg.com,OK,26,en
https://x.com/oxfamgbpress/status/1459584319693987840,oxfam.org.uk,OK,26,en
https://x.com/COP26_tv/status/1459584255961534466,cop26.tv,OK,26,en
https://x.com/wikileaks/status/1459584069222731777,whistleblowersblog.org,OK,26,en
https://x.com/POLITICOEurope/status/1459582969799229447,politico.eu,OK,26,en
https://x.com/hilltopgina/status/1459582718489116674,globalvegancrowdfunder.org,OK,26,en
https://x.com/debtjustice/status/1459579683373305856,debtjustice.org.uk,OK,26,en
https://x.com/OANN/status/1459577953805684747,rumble.com,OK,26,en
https://x.com/PeterHeadCBE/status/1459577822083756035,theguardian.com,OK,26,en
https://x.com/Reuters/status/1459576830109835266,reuters.com,OK,26,en
https://x.com/Reuters/status/1459576795078873091,reuters.com,OK,26,en
https://x.com/CJ_Coalition/status/1459576193796214794,cop26coalition.org,OK,26,en
https://x.com/ProfStrachan/status/1459575433746432001,bbc.co.uk,OK,26,en
https://x.com/OrgResCent/status/1459572331458834433,casestudies.naturebasedsolutionsinitiative.org,OK,26,en
https://x.com/ISjournal/status/1459570514477867014,drive.google.com,OK,26,en
https://x.com/ISjournal/status/1459570514477867014,drive.google.com,OK,26,en
https://x.com/afshinrattansi/status/1459567421782585354,nytimes.com,OK,26,en
https://x.com/LBofHounslow/status/1459566966570721282,peddlemywheels.com,OK,26,en
https://x.com/UNDP/status/1459566733375811586,undp.org,OK,26,en
https://x.com/ProfStrachan/status/1459566568812204033,reliefweb.int,OK,26,en
https://x.com/SkyNews/status/1459564394103377923,news.sky.com,OK,26,en
https://x.com/Reuters/status/1459564225840488455,reuters.com,OK,26,en
https://x.com/lamphieryeg/status/1459563902740484098,nationalpost.com,OK,26,en
https://x.com/ProfStrachan/status/1459563701434990599,news.sky.com,OK,26,en
https://x.com/wef/status/1459562968560160779,weforum.org,OK,26,en
https://x.com/CarbonBrief/status/1459561695521693706,carbonbrief.org,OK,26,en
https://x.com/zohrabai/status/1459559352772136960,independent.co.uk,OK,26,en
https://x.com/ECOWARRIORSS/status/1459555398730588163,theguardian.com,OK,26,en
https://x.com/PickardJE/status/1459554960740397062,ft.com,OK,26,en
https://x.com/SkyNews/status/1459554534179872768,news.sky.com,OK,26,en
https://x.com/BBCNews/status/1459553254619205636,bbc.co.uk,OK,26,en
https://x.com/CNN/status/1459552624747945984,edition.cnn.com,OK,26,en
https://x.com/PalmOilDetect/status/1459551630051840003,palmoildetectives.com,OK,26,en
https://x.com/SkyNews/status/1459551280209305601,news.sky.com,OK,26,en
https://x.com/MalvernXR/status/1459549908579594247,bbc.co.uk,OK,26,en
https://x.com/Kalimeralynn/status/1459548896930238465,a.msn.com,OK,26,en
https://x.com/bbgoriginals/status/1459548801987981315,bloomberg.com,OK,26,en
https://x.com/MichaelEMann/status/1459548414836985862,independent.co.uk,OK,26,en
https://x.com/tveitdal/status/1459546092668952582,newstatesman.com,OK,26,en
https://x.com/SkyNews/status/1459544244281131012,news.sky.com,OK,26,en
https://x.com/zerohedge/status/1459544144125308933,zerohedge.com,OK,26,en
https://x.com/byadavbjp/status/1459543870258114562,unfccc-cop26.streamworld.de,OK,26,en
https://x.com/Sushmitav1/status/1459542326494199812,caravanmagazine.in,OK,26,en
https://x.com/democracynow/status/1459540399480098827,democracynow.org,OK,26,en
https://x.com/Reuters/status/1459540276918177800,twitter.com,OK,26,en
