hashtag;frequency;lang;cop
#govegan;14;en;26
#biden;14;en;26
#torysewageparty;14;en;26
#educationcrisis;14;en;26
#warisnotgreen;14;en;26
#westpapua;14;en;26
#stopfundingfossils;14;en;26
#pollution;14;en;26
#actonthegap;14;en;26
#sewage;14;en;26
#israel;14;en;26
#ableg;14;en;26
#update;13;en;26
#us;13;en;26
#sustainable;13;en;26
#gas;13;en;26
#education;13;en;26
#climatereport;13;en;26
#climateadaptation;13;en;26
#sdg7bebold;13;en;26
#beyondoilandgasalliance;13;en;26
#yesscotsnotrident;13;en;26
#forest;13;en;26
#scientistrebellion;13;en;26
#tibetclimatecrisis;13;en;26
#sdg7pavilion;13;en;26
#france;13;en;26
#zimbabwe;13;en;26
#gpc;12;en;26
#carbonemissions;12;en;26
#commonwealth;12;en;26
#peoplevsfossilfuels;12;en;26
#fossiloftheday;12;en;26
#innovation;12;en;26
#1o5c;12;en;26
#localgov;12;en;26
#peopletothefront;12;en;26
#conservation;12;en;26
#emissions;12;en;26
#onpoli;12;en;26
#uranium;12;en;26
#uaeforclimate;12;en;26
#notimetowaste;12;en;26
#uofgcop26;12;en;26
#sewagescandal;12;en;26
#cen;12;en;26
#vegansforclimatejustice;12;en;26
#cities;11;en;26
#greenhydrogen;11;en;26
#norightsnodeal;11;en;26
#cambo;11;en;26
#solidarity;11;en;26
#worldwewant;11;en;26
#planetaryhealth;11;en;26
#finance;11;en;26
#nepal;11;en;26
#resilience;11;en;26
#planet;11;en;26
#axedrax;11;en;26
#abc730;11;en;26
#greenzone;11;en;26
#plantbasedtreaty;11;en;26
#banplasticinwetwipes;11;en;26
#wearamask;11;en;26
#irishfreedom;11;en;26
#nomoreblahblahblah;11;en;26
#letyourgreenbeseen;11;en;26
#forcoral;11;en;26
#inequality;11;en;26
#bigoilreality;11;en;26
#womensbillofrights;11;en;26
#borisjohnsonout;11;en;26
#50swomen;11;en;26
#fossilfueltreaty;10;en;26
#southsudan;10;en;26
#falsesolutions;10;en;26
#russia;10;en;26
#shell;10;en;26
#ai;10;en;26
#scottish;10;en;26
#independence;10;en;26
#food;10;en;26
#wewontforget;10;en;26
#bbcqt;10;en;26
#codered;10;en;26
#plastic;10;en;26
#inclusiveclimateaction;10;en;26
#mining;10;en;26
#sentinel2;10;en;26
#bbcbreakfast;10;en;26
#somalia;10;en;26
#scotlandisnow;10;en;26
#science;10;en;26
#bigbadbiomass;10;en;26
#theprojecttv;10;en;26
#globalmethanepledge;10;en;26
#letschangeenergy;10;en;26
#nytclimatehub;10;en;26
#ecw;10;en;26
#climateducationcrisis;10;en;26
#tourismandclimate;10;en;26
#glfclimate;10;en;26
#march4climatejustice;10;en;26
#auobnow;10;en;26
#whatshappeninginmyanmar;10;en;26
#meatequalsheat;10;en;26
#scottytheliar;10;en;26
#zambia;10;en;26
#sheikhhasina;10;en;26
#g20italy;10;en;26
#blinks;10;en;26
#worldleaderssummit;10;en;26
#halloween;10;en;26
#cop26strike;9;en;26
#extinction;9;en;26
#peoplepower;9;en;26
#leavenoonebehind;9;en;26
#elsiemcselfie;9;en;26
#childrights;9;en;26
#liarfromtheshire;9;en;26
